--- RawMouseToXbox360 Started 7/2/2025 3:25:30 PM ---
ViGEm controller created and connected.
Registered for raw mouse input.
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=1 -> stickX=0, stickY=1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-2 -> stickX=0, stickY=-3932
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-2 -> stickX=0, stickY=-3932
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-2 -> stickX=0, stickY=-3932
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-2 -> stickX=0, stickY=-3932
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-2 -> stickX=0, stickY=-3932
MouseDelta: dx=0, dy=-2 -> stickX=0, stickY=-3932
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-2 -> stickX=0, stickY=-3932
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-2 -> stickX=0, stickY=-3932
MouseDelta: dx=0, dy=-2 -> stickX=0, stickY=-3932
MouseDelta: dx=0, dy=-2 -> stickX=0, stickY=-3932
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-2 -> stickX=0, stickY=-3932
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-2 -> stickX=0, stickY=-3932
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-2 -> stickX=0, stickY=-3932
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-2 -> stickX=0, stickY=-3932
MouseDelta: dx=0, dy=-2 -> stickX=0, stickY=-3932
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
MouseDelta: dx=0, dy=-1 -> stickX=0, stickY=-1966
